1007110.3	0
1007112.3	8.33
1007113.3	31.86
1009416.3	21.98
1035308.3	2.59
1047007.3	26.78
1086030.5	0
1123864.3	21.04
1123865.4	35.49
1131291.3	39.92
1151391.4	0
1154869.3	6.03
1157681.3	22.03
1157683.3	36.01
1157689.3	30.43
1190567.3	0
1209359.3	0.400000000000006
1242690.4	19.82
1242866.5	35.51
1269943.4	24.14
1299319.3	8.33
1311574.3	30.19
1336745.4	33.57
1365662.3	6.46000000000001
1389955.3	0
1404261.3	0
1404262.3	0
1406378.3	19.04
456482.3	22.24
500637.6	0
748003.8	-58.33
766154.3	11.13
913328.3	26.58
939390.3	15.52
